start_lat,start_lon,end_lat,end_lon,airport1,airport2
55.61805556,12.65583333,56.30388889,10.62,CPH,AAR
55.61805556,12.65583333,50.90166667,4.494166667,CPH,BRU
55.61805556,12.65583333,51.28111111,6.752777778,CPH,DUS
55.61805556,12.65583333,50.03194444,8.577777778,CPH,FRA
55.61805556,12.65583333,57.66305556,12.28277778,CPH,GOT
55.61805556,12.65583333,52.46166667,9.684722222,CPH,HAJ
55.61805556,12.65583333,53.63388889,9.995,CPH,HAM
55.61805556,12.65583333,55.54833333,13.35944444,CPH,MMX
55.61805556,12.65583333,48.1325,11.69916667,CPH,MUC
55.61805556,12.65583333,48.68833333,9.21,CPH,STR
55.61805556,12.65583333,52.56027778,13.29555556,CPH,TXL
55.61805556,12.65583333,48.11083333,16.55805556,CPH,VIE
55.61805556,12.65583333,47.45833333,8.551666667,CPH,ZRH
37.40277778,14.92305556,35.49611111,12.615,CTA,LMP
37.40277778,14.92305556,35.8575,14.4775,CTA,MLA
51.39666667,-3.343333333,54.61805556,-5.8725,CWL,BHD
51.39666667,-3.343333333,55.95,-3.3725,CWL,EDI
51.39666667,-3.343333333,56.06666667,-6.216666667,CWL,GLA
51.39666667,-3.343333333,49.20805556,-2.195555556,CWL,JER
51.39666667,-3.343333333,51.50527778,0.055277778,CWL,LCY
51.39666667,-3.343333333,51.4775,-0.461388889,CWL,LHR
51.39666667,-3.343333333,55.03777778,-1.686666667,CWL,NCL
42.5625,18.26888889,45.74305556,16.06888889,DBV,ZAG
51.13277778,13.76722222,50.86583333,7.141944444,DRS,CGN
51.13277778,13.76722222,51.28111111,6.752777778,DRS,DUS
51.13277778,13.76722222,50.03194444,8.577777778,DRS,FRA
51.13277778,13.76722222,53.63388889,9.995,DRS,HAM
51.13277778,13.76722222,48.1325,11.69916667,DRS,MUC
51.13277778,13.76722222,48.68833333,9.21,DRS,STR
51.13277778,13.76722222,47.45833333,8.551666667,DRS,ZRH
51.51833333,7.612222222,50.03194444,8.577777778,DTM,FRA
51.51833333,7.612222222,50.63722222,5.443888889,DTM,LGG
51.51833333,7.612222222,48.1325,11.69916667,DTM,MUC
53.4325,-6.252222222,50.86583333,7.141944444,DUB,CGN
53.4325,-6.252222222,51.39666667,-3.343333333,DUB,CWL
53.4325,-6.252222222,50.03194444,8.577777778,DUB,FRA
53.4325,-6.252222222,48.1325,11.69916667,DUB,MUC
53.4325,-6.252222222,47.45833333,8.551666667,DUB,ZRH
51.28111111,6.752777778,59.66194444,17.93388889,DUS,ARN
51.28111111,6.752777778,41.30277778,2.094444444,DUS,BCN
51.28111111,6.752777778,52.45388889,-1.746388889,DUS,BHX
51.28111111,6.752777778,43.30277778,-2.921666667,DUS,BIO
51.28111111,6.752777778,47.59,7.53,DUS,BSL
51.28111111,6.752777778,47.43694444,19.25555556,DUS,BUD
51.28111111,6.752777778,49.00972222,2.547777778,DUS,CDG
51.28111111,6.752777778,55.61805556,12.65583333,DUS,CPH
51.28111111,6.752777778,51.13277778,13.76722222,DUS,DRS
51.28111111,6.752777778,41.80027778,12.23888889,DUS,FCO
51.28111111,6.752777778,50.03194444,8.577777778,DUS,FRA
51.28111111,6.752777778,56.06666667,-6.216666667,DUS,GLA
51.28111111,6.752777778,57.66305556,12.28277778,DUS,GOT
51.28111111,6.752777778,46.99333333,15.44,DUS,GRZ
51.28111111,6.752777778,46.23944444,6.110277778,DUS,GVA
51.28111111,6.752777778,53.63388889,9.995,DUS,HAM
51.28111111,6.752777778,50.47416667,19.08,DUS,KTW
51.28111111,6.752777778,51.42388889,12.23638889,DUS,LEJ
51.28111111,6.752777778,50.63722222,5.443888889,DUS,LGG
51.28111111,6.752777778,51.4775,-0.461388889,DUS,LHR
51.28111111,6.752777778,48.23444444,14.19361111,DUS,LNZ
51.28111111,6.752777778,45.72555556,5.081666667,DUS,LYS
51.28111111,6.752777778,53.35333333,-2.276666667,DUS,MAN
51.28111111,6.752777778,43.43555556,5.216388889,DUS,MRS
51.28111111,6.752777778,48.1325,11.69916667,DUS,MUC
51.28111111,6.752777778,45.63277778,8.732222222,DUS,MXP
51.28111111,6.752777778,55.03777778,-1.686666667,DUS,NCL
51.28111111,6.752777778,49.49972222,11.08166667,DUS,NUE
51.28111111,6.752777778,60.20277778,11.08555556,DUS,OSL
51.28111111,6.752777778,44.57222222,26.10222222,DUS,OTP
51.28111111,6.752777778,50.10083333,14.26,DUS,PRG
51.28111111,6.752777778,28.6225,-17.75361111,DUS,SPC
51.28111111,6.752777778,47.79333333,13.00444444,DUS,SZG
51.28111111,6.752777778,52.56027778,13.29555556,DUS,TXL
51.28111111,6.752777778,45.50666667,12.35,DUS,VCE
51.28111111,6.752777778,48.11083333,16.55805556,DUS,VIE
51.28111111,6.752777778,39.48861111,-0.481944444,DUS,VLC
51.28111111,6.752777778,52.16666667,20.96666667,DUS,WAW
51.28111111,6.752777778,51.1,16.88333333,DUS,WRO
51.28111111,6.752777778,47.45833333,8.551666667,DUS,ZRH
55.52638889,8.5525,55.74027778,9.152777778,EBJ,BLL
55.52638889,8.5525,58.87972222,5.634722222,EBJ,SVG
55.95,-3.3725,54.61805556,-5.8725,EDI,BHD
55.95,-3.3725,50.03194444,8.577777778,EDI,FRA
55.95,-3.3725,53.35333333,-2.276666667,EDI,MAN
55.95,-3.3725,53.91,-8.817777778,EDI,NOC
55.95,-3.3725,52.70055556,-8.918611111,EDI,SNN
38.11861111,20.49972222,37.89583333,23.72888889,EFL,ATH
38.11861111,20.49972222,37.75111111,20.88277778,EFL,ZTH
52.83111111,-1.328055556,54.61805556,-5.8725,EMA,BHD
52.83111111,-1.328055556,55.95,-3.3725,EMA,EDI
52.83111111,-1.328055556,56.06666667,-6.216666667,EMA,GLA
52.83111111,-1.328055556,49.20805556,-2.195555556,EMA,JER
52.83111111,-1.328055556,28.04277778,-16.57055556,EMA,TFS
68.49111111,16.67972222,67.26916667,14.37222222,EVE,BOO
68.49111111,16.67972222,60.20277778,11.08555556,EVE,OSL
68.49111111,16.67972222,69.68138889,18.92166667,EVE,TOS
68.49111111,16.67972222,63.45972222,10.93694444,EVE,TRD
37.01444444,-7.965833333,38.78138889,-9.135833333,FAO,LIS
41.80027778,12.23888889,50.86583333,7.141944444,FCO,CGN
41.80027778,12.23888889,51.28111111,6.752777778,FCO,DUS
41.80027778,12.23888889,50.03194444,8.577777778,FCO,FRA
41.80027778,12.23888889,44.41305556,8.837777778,FCO,GOA
41.80027778,12.23888889,46.23944444,6.110277778,FCO,GVA
41.80027778,12.23888889,53.63388889,9.995,FCO,HAM
41.80027778,12.23888889,48.1325,11.69916667,FCO,MUC
41.80027778,12.23888889,43.68055556,10.39277778,FCO,PSA
41.80027778,12.23888889,38.07527778,15.65083333,FCO,REG
41.80027778,12.23888889,48.11083333,16.55805556,FCO,VIE
41.80027778,12.23888889,47.45833333,8.551666667,FCO,ZRH
47.66722222,9.5125,50.03194444,8.577777778,FDH,FRA
47.66722222,9.5125,28.04277778,-16.57055556,FDH,TFS
48.77916667,8.080277778,50.03194444,8.577777778,FKB,FRA
48.77916667,8.080277778,53.63388889,9.995,FKB,HAM
43.81027778,11.19777778,50.03194444,8.577777778,FLR,FRA
